下单时间,推广设备,计划ID,计划名称,品类名,SKUID,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,预售订单行,预售订单金额,直接加购数,间接加购数,总加购数,转化率(%),ROI,下单新客数,访问页面数,页面平均访问时长,深度进店数,店铺关注数,商品关注数,预约数,领劵数,推广模式
20230416,全部,626847635,经典海投计划,花西子-防晒,10029307929810,5075,185,3.65,620.71,122.31,3.36,20,4179.00,2,69.01,22,4248.01,0,0.00,67,12,79,11.89,6.84,13,524,26.6,0,1,1,0,4,普通推广
20230409,全部,626847635,经典海投计划,花西子-口红,65659245179,5068,152,3.00,267.18,52.72,1.76,1,89.00,1,129.00,2,218.00,0,0.00,21,30,51,1.32,0.82,2,379,17.2,0,0,1,0,0,普通推广
20230412,全部,626847635,经典海投计划,花西子-腮红/胭脂,65644223611,5027,122,2.43,408.64,81.29,3.35,3,267.00,8,822.00,11,1089.00,0,0.00,12,29,41,9.02,2.66,6,241,22.8,0,0,3,0,2,普通推广
20230413,全部,626847635,经典海投计划,花西子-眼影,10042514674291,5017,77,1.53,216.95,43.24,2.82,0,0.00,2,736.00,2,736.00,0,0.00,6,16,22,2.60,3.39,1,270,13.3,0,0,0,0,0,普通推广
20230416,全部,626847635,经典海投计划,花西子-眼影,10060745254879,5012,74,1.48,179.21,35.76,2.42,1,159.00,0,0.00,1,159.00,0,0.00,8,12,20,1.35,0.89,1,142,20.7,0,0,0,0,0,普通推广
20230425,全部,626847635,经典海投计划,花西子-粉饼,10064620812409,5001,83,1.66,468.53,93.69,5.64,0,0.00,0,0.00,0,0.00,0,0.00,20,16,36,0.00,0.00,0,253,21.2,0,0,0,0,4,普通推广
20230419,全部,626847635,经典海投计划,花西子-蜜粉/散粉,10025033943235,4941,255,5.16,1902.02,384.95,7.46,11,1859.00,23,3767.02,34,5626.02,0,0.00,54,75,129,13.33,2.96,16,1004,20.1,0,1,2,0,3,普通推广
20230413,全部,626847635,经典海投计划,花西子-彩妆套装,68477031919,4921,158,3.21,838.18,170.33,5.30,0,0.00,3,2062.00,3,2062.00,0,0.00,8,4,12,1.90,2.46,3,370,26.4,0,1,0,0,1,普通推广
20230420,全部,626847635,经典海投计划,花西子-眼影,10042514674291,4915,69,1.40,219.44,44.65,3.18,1,199.00,3,118.80,4,317.80,0,0.00,16,8,24,5.80,1.45,2,124,22.2,0,0,0,0,0,普通推广
20230422,全部,626847635,经典海投计划,花西子-粉饼,10064620812408,4913,81,1.65,144.07,29.32,1.78,1,199.00,0,0.00,1,199.00,0,0.00,4,2,6,1.23,1.38,1,108,21.0,0,1,2,0,1,普通推广
20230406,全部,626847635,经典海投计划,花西子-口红,65659245179,4909,127,2.59,207.08,42.18,1.63,1,89.00,2,178.00,3,267.00,0,0.00,18,8,26,2.36,1.29,2,270,23.7,0,0,0,0,0,普通推广
20230420,全部,626847635,经典海投计划,花西子-眼影,10060745254879,4898,80,1.63,195.40,39.89,2.44,0,0.00,0,0.00,0,0.00,0,0.00,6,12,18,0.00,0.00,0,142,15.6,0,0,0,0,0,普通推广
20230416,全部,1001313761,海投新客推广,花西子-粉底液/膏,10037476816171,4844,103,2.13,707.92,146.14,6.87,3,807.00,6,976.90,9,1783.90,0,0.00,11,19,30,8.74,2.52,7,281,23.9,24,0,0,0,0,普通推广
20230414,全部,626847635,经典海投计划,花西子-彩妆套装,65658689377,4801,104,2.17,449.60,93.65,4.32,1,449.00,0,0.00,1,449.00,0,0.00,13,5,18,0.96,1.00,1,255,16.7,0,1,1,0,1,普通推广
20230409,全部,626847635,经典海投计划,花西子-防晒,10029307929810,4791,178,3.72,471.23,98.36,2.65,16,3582.00,2,559.01,18,4141.01,0,0.00,58,24,82,10.11,8.79,12,532,20.1,0,1,1,0,7,普通推广
20230408,全部,626847635,经典海投计划,花西子-口红,65659245179,4732,134,2.83,238.84,50.47,1.78,2,178.00,1,129.00,3,307.00,0,0.00,16,16,32,2.24,1.29,2,309,17.3,0,1,2,0,0,普通推广
20230405,全部,626847635,经典海投计划,花西子-口红,10029845862616,4711,72,1.53,138.73,29.45,1.93,0,0.00,0,0.00,0,0.00,0,0.00,0,2,2,0.00,0.00,0,120,20.8,0,0,0,0,0,普通推广
20230407,全部,626847635,经典海投计划,花西子-口红,65659245179,4703,136,2.89,238.02,50.61,1.75,2,178.00,0,0.00,2,178.00,0,0.00,22,4,26,1.47,0.75,1,295,13.4,0,0,1,0,1,普通推广
20230423,全部,626847635,经典海投计划,花西子-气垫CC/CC霜,65651486221,4667,93,1.99,176.71,37.86,1.90,0,0.00,2,378.00,2,378.00,0,0.00,3,4,7,2.15,2.14,2,97,20.4,0,0,0,0,0,普通推广
20230423,全部,626847635,经典海投计划,花西子-粉底液/膏,10037476816171,4666,107,2.29,208.85,44.76,1.95,0,0.00,3,516.00,3,516.00,0,0.00,11,6,17,2.80,2.47,2,202,17.7,0,0,0,0,0,普通推广
