日期,ID,推广计划,计划类型,计费类型,展现量,点击量,点击率,总费用,千次展现成本,平均点击成本,破圈人群曝光占比,破圈人群点击占比,破圈人群点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,预售订单行,预售订单金额,直接加购数,间接加购数,总加购数,加购率,加购成本,转化率,CPA,ROI,表单提交量,总表单提交量,下单新客数,广告访客数,访问页面数,页面平均访问时长,深度进店数,商品关注数,店铺关注数,预约数,领劵数,直播点赞数,直播评论数,直播分享数,直播关注数,直播互动数,直播互动率(%s),观看次数,观看时长,平均观看时长,视频点赞数,视频评论数,视频分享数,视频互动数,视频互动率(%s),视频播放次数,视频有效播放次数,视频播放时长,完播率,视频有效播放率,新客范围,未购买周期,拉新新客数,拉新新客成本
20230401~20230426,1090969616,蜜粉饼_购物触点,商品,CPC,372448,2936,0.79,30555.92,82.04,10.41,45.45,31.78,10.44,84,15394.00,170,30087.83,254,45481.83,0,0.00,516,716,1232,41.96,24.80,8.65,120.30,1.49,0,0,132,2026,8080,21.3,1068,13,28,0,113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1176918756,持色唇纱2.0丝柔_购物触点,商品,CPC,343910,2228,0.65,15005.22,43.63,6.73,48.85,36.89,7.26,12,1677.00,120,16917.95,132,18594.95,2,1518.00,265,715,980,43.99,15.31,5.92,113.68,1.24,0,0,61,1504,6347,20.2,714,17,10,0,71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090980939,精致底妆礼盒_购物触点,商品,CPC,327130,2889,0.88,37044.79,113.24,12.82,50.14,42.68,12.70,22,12478.00,166,35926.06,188,48404.06,0,0.00,289,676,965,33.40,38.39,6.51,197.05,1.31,0,0,103,1869,7113,22.2,1007,9,19,0,115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1090940882,私模蜜粉饼_购物触点,商品,CPC,282565,2906,1.03,29932.13,105.93,10.30,47.30,32.62,9.64,57,12260.00,201,34676.73,258,46936.73,0,0.00,408,801,1209,41.60,24.76,8.88,116.02,1.57,0,0,130,2024,9807,25.1,1313,5,18,0,98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1194332082,玉养气垫_购物触点,商品,CPC,275781,2490,0.90,24710.49,89.60,9.92,45.51,36.95,10.94,66,13134.00,114,17701.95,180,30835.95,0,0.00,469,556,1025,41.16,24.11,7.23,137.28,1.25,0,0,108,1637,7113,21.4,889,16,21,0,79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1085216213,出水芙蓉组合_购物触点,商品,CPC,267912,2046,0.76,22653.73,84.56,11.07,28.63,24.39,10.98,12,4416.00,99,18260.63,111,22676.63,0,0.00,180,392,572,27.96,39.60,5.43,204.09,1.00,0,0,63,1398,4627,24.5,708,10,16,0,68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1085221244,并蒂同心妆匣_购物触点,商品,CPC,237128,2648,1.12,27405.16,115.57,10.35,41.06,30.85,10.14,24,11936.14,100,30770.84,124,42706.98,0,0.00,251,447,698,26.36,39.26,4.68,221.01,1.56,0,0,77,1914,8119,19.0,1090,18,24,0,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1176911443,持色唇纱2.0_购物触点,商品,CPC,130247,1208,0.93,10602.52,81.40,8.78,49.03,39.98,9.43,8,1032.00,69,8956.01,77,9988.01,0,0.00,176,328,504,41.72,21.04,6.37,137.70,0.94,0,0,39,821,2978,21.0,387,6,5,0,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,1085210051,持色唇纱礼盒_购物触点,商品,CPC,85280,759,0.89,6377.29,74.78,8.40,58.98,53.23,8.88,2,758.00,41,6567.01,43,7325.01,0,0.00,80,144,224,29.51,28.47,5.67,148.31,1.15,0,0,31,526,2092,19.2,271,8,4,0,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20230401~20230426,626847635,经典海投计划,3,CPC,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,--,1,0,0.0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
